Platform,Attack,Layer,Defense,Attacker,Workload,ASR,DDR,FPR_D,PEP,ASupR,DOI
P1,A7_Collusion,Logic,D3_Response_Verification,Defense_Aware,Medium,0.634,0.106,0.026,0.388,0.0,1.15
P1,A7_Collusion,Logic,D3_Response_Verification,Defense_Aware,High,0.684,0.106,0.03,0.412,0.0,1.21
P1,A7_Collusion,Logic,D3_Response_Verification,Adaptive,Low,0.662,0.064,0.026,0.412,0.0,1.1
P1,A7_Collusion,Logic,D3_Response_Verification,Adaptive,Medium,0.7,0.064,0.026,0.43,0.0,1.15
P1,A7_Collusion,Logic,D3_Response_Verification,Adaptive,High,0.778,0.064,0.03,0.464,0.0,1.21
P1,A7_Collusion,Logic,D4_Agent_Isolation,Static,Low,0.558,0.138,0.016,0.322,0.0,1.07
P1,A7_Collusion,Logic,D4_Agent_Isolation,Static,Medium,0.58,0.138,0.016,0.352,0.0,1.12
P1,A7_Collusion,Logic,D4_Agent_Isolation,Static,High,0.626,0.138,0.018,0.388,0.0,1.18
P1,A7_Collusion,Logic,D4_Agent_Isolation,Defense_Aware,Low,0.606,0.094,0.016,0.376,0.0,1.07
P1,A7_Collusion,Logic,D4_Agent_Isolation,Defense_Aware,Medium,0.644,0.094,0.016,0.402,0.0,1.12
P1,A7_Collusion,Logic,D4_Agent_Isolation,Defense_Aware,High,0.694,0.094,0.018,0.422,0.0,1.18
P1,A7_Collusion,Logic,D4_Agent_Isolation,Adaptive,Low,0.676,0.042,0.016,0.416,0.0,1.07
P1,A7_Collusion,Logic,D4_Agent_Isolation,Adaptive,Medium,0.724,0.042,0.016,0.438,0.0,1.12
P1,A7_Collusion,Logic,D4_Agent_Isolation,Adaptive,High,0.798,0.042,0.018,0.48,0.0,1.18
P1,A7_Collusion,Logic,D5_Consensus_Protocol,Static,Low,0.532,0.18,0.058,0.3,0.0,1.16
P1,A7_Collusion,Logic,D5_Consensus_Protocol,Static,Medium,0.554,0.18,0.06,0.322,0.0,1.21
P1,A7_Collusion,Logic,D5_Consensus_Protocol,Static,High,0.594,0.18,0.068,0.362,0.0,1.27
P1,A7_Collusion,Logic,D5_Consensus_Protocol,Defense_Aware,Low,0.582,0.138,0.058,0.356,0.0,1.16
P1,A7_Collusion,Logic,D5_Consensus_Protocol,Defense_Aware,Medium,0.62,0.138,0.06,0.382,0.0,1.21
P1,A7_Collusion,Logic,D5_Consensus_Protocol,Defense_Aware,High,0.658,0.138,0.068,0.408,0.0,1.27
P1,A7_Collusion,Logic,D5_Consensus_Protocol,Adaptive,Low,0.642,0.09,0.058,0.398,0.0,1.16
P1,A7_Collusion,Logic,D5_Consensus_Protocol,Adaptive,Medium,0.688,0.09,0.06,0.416,0.0,1.21
P1,A7_Collusion,Logic,D5_Consensus_Protocol,Adaptive,High,0.748,0.09,0.068,0.456,0.0,1.27
P1,A7_Collusion,Logic,D6_Behavioral_Monitor,Static,Low,0.548,0.218,0.04,0.332,0.0,1.05
P1,A7_Collusion,Logic,D6_Behavioral_Monitor,Static,Medium,0.58,0.218,0.042,0.36,0.0,1.1
P1,A7_Collusion,Logic,D6_Behavioral_Monitor,Static,High,0.632,0.218,0.044,0.392,0.0,1.16
P1,A7_Collusion,Logic,D6_Behavioral_Monitor,Defense_Aware,Low,0.618,0.188,0.04,0.374,0.0,1.05
P1,A7_Collusion,Logic,D6_Behavioral_Monitor,Defense_Aware,Medium,0.65,0.188,0.042,0.402,0.0,1.1
P1,A7_Collusion,Logic,D6_Behavioral_Monitor,Defense_Aware,High,0.698,0.188,0.044,0.432,0.0,1.16
P1,A7_Collusion,Logic,D6_Behavioral_Monitor,Adaptive,Low,0.678,0.146,0.04,0.416,0.0,1.05
P1,A7_Collusion,Logic,D6_Behavioral_Monitor,Adaptive,Medium,0.73,0.146,0.042,0.452,0.0,1.1
P1,A7_Collusion,Logic,D6_Behavioral_Monitor,Adaptive,High,0.808,0.146,0.044,0.474,0.0,1.16
P1,A7_Collusion,Logic,Bundle_D1_D3_D4_D6,Static,Low,0.344,0.224,0.084,0.202,0.0,1.26
P1,A7_Collusion,Logic,Bundle_D1_D3_D4_D6,Static,Medium,0.4,0.224,0.084,0.236,0.0,1.31
P1,A7_Collusion,Logic,Bundle_D1_D3_D4_D6,Static,High,0.458,0.224,0.09,0.272,0.0,1.37
P1,A7_Collusion,Logic,Bundle_D1_D3_D4_D6,Defense_Aware,Low,0.448,0.19,0.084,0.266,0.0,1.26
P1,A7_Collusion,Logic,Bundle_D1_D3_D4_D6,Defense_Aware,Medium,0.504,0.19,0.084,0.284,0.0,1.31
P1,A7_Collusion,Logic,Bundle_D1_D3_D4_D6,Defense_Aware,High,0.53,0.19,0.09,0.312,0.0,1.37
P1,A7_Collusion,Logic,Bundle_D1_D3_D4_D6,Adaptive,Low,0.526,0.146,0.084,0.31,0.0,1.26
P1,A7_Collusion,Logic,Bundle_D1_D3_D4_D6,Adaptive,Medium,0.558,0.146,0.084,0.338,0.0,1.31
P1,A7_Collusion,Logic,Bundle_D1_D3_D4_D6,Adaptive,High,0.61,0.146,0.09,0.368,0.0,1.37
P1,A7_Collusion,Logic,Bundle_All,Static,Low,0.288,0.248,0.118,0.162,0.0,1.43
P1,A7_Collusion,Logic,Bundle_All,Static,Medium,0.33,0.248,0.124,0.192,0.0,1.48
P1,A7_Collusion,Logic,Bundle_All,Static,High,0.38,0.248,0.134,0.226,0.0,1.54
P1,A7_Collusion,Logic,Bundle_All,Defense_Aware,Low,0.362,0.212,0.118,0.216,0.0,1.43
P1,A7_Collusion,Logic,Bundle_All,Defense_Aware,Medium,0.412,0.212,0.124,0.25,0.0,1.48
P1,A7_Collusion,Logic,Bundle_All,Defense_Aware,High,0.482,0.212,0.134,0.274,0.0,1.54
P1,A7_Collusion,Logic,Bundle_All,Adaptive,Low,0.46,0.18,0.118,0.278,0.0,1.43
P1,A7_Collusion,Logic,Bundle_All,Adaptive,Medium,0.51,0.18,0.124,0.294,0.0,1.48
P1,A7_Collusion,Logic,Bundle_All,Adaptive,High,0.542,0.18,0.134,0.33,0.0,1.54
P1,A8_Priv_Escalation,Logic,No Defense,Static,Low,0.71,0.0,0.0,0.432,0.0,1.0
P1,A8_Priv_Escalation,Logic,No Defense,Static,Medium,0.766,0.0,0.0,0.468,0.0,1.05
P1,A8_Priv_Escalation,Logic,No Defense,Static,High,0.844,0.0,0.0,0.5,0.0,1.11
P1,A8_Priv_Escalation,Logic,No Defense,Defense_Aware,Low,0.806,0.0,0.0,0.488,0.0,1.0
P1,A8_Priv_Escalation,Logic,No Defense,Defense_Aware,Medium,0.862,0.0,0.0,0.512,0.0,1.05
P1,A8_Priv_Escalation,Logic,No Defense,Defense_Aware,High,0.926,0.0,0.0,0.528,0.0,1.11
P1,A8_Priv_Escalation,Logic,No Defense,Adaptive,Low,0.89,0.0,0.0,0.518,0.0,1.0
P1,A8_Priv_Escalation,Logic,No Defense,Adaptive,Medium,0.948,0.0,0.0,0.536,0.0,1.05
P1,A8_Priv_Escalation,Logic,No Defense,Adaptive,High,0.986,0.0,0.0,0.552,0.0,1.11
P1,A8_Priv_Escalation,Logic,D1_Input_Sanitization,Static,Low,0.576,0.206,0.05,0.35,0.0,1.08
P1,A8_Priv_Escalation,Logic,D1_Input_Sanitization,Static,Medium,0.612,0.206,0.05,0.376,0.0,1.13
P1,A8_Priv_Escalation,Logic,D1_Input_Sanitization,Static,High,0.652,0.206,0.052,0.404,0.0,1.19
P1,A8_Priv_Escalation,Logic,D1_Input_Sanitization,Defense_Aware,Low,0.64,0.172,0.05,0.392,0.0,1.08
P1,A8_Priv_Escalation,Logic,D1_Input_Sanitization,Defense_Aware,Medium,0.672,0.172,0.05,0.412,0.0,1.13
P1,A8_Priv_Escalation,Logic,D1_Input_Sanitization,Defense_Aware,High,0.738,0.172,0.052,0.452,0.0,1.19
P1,A8_Priv_Escalation,Logic,D1_Input_Sanitization,Adaptive,Low,0.712,0.124,0.05,0.436,0.0,1.08
P1,A8_Priv_Escalation,Logic,D1_Input_Sanitization,Adaptive,Medium,0.77,0.124,0.05,0.468,0.0,1.13
P1,A8_Priv_Escalation,Logic,D1_Input_Sanitization,Adaptive,High,0.838,0.124,0.052,0.494,0.0,1.19
P1,A8_Priv_Escalation,Logic,D2_Tool_Attestation,Static,Low,0.526,0.228,0.014,0.302,0.0,1.06
P1,A8_Priv_Escalation,Logic,D2_Tool_Attestation,Static,Medium,0.556,0.228,0.014,0.33,0.0,1.11
P1,A8_Priv_Escalation,Logic,D2_Tool_Attestation,Static,High,0.6,0.228,0.014,0.374,0.0,1.17
P1,A8_Priv_Escalation,Logic,D2_Tool_Attestation,Defense_Aware,Low,0.586,0.196,0.014,0.358,0.0,1.06
P1,A8_Priv_Escalation,Logic,D2_Tool_Attestation,Defense_Aware,Medium,0.62,0.196,0.014,0.38,0.0,1.11
P1,A8_Priv_Escalation,Logic,D2_Tool_Attestation,Defense_Aware,High,0.66,0.196,0.014,0.404,0.0,1.17
P1,A8_Priv_Escalation,Logic,D2_Tool_Attestation,Adaptive,Low,0.654,0.152,0.014,0.404,0.0,1.06
P1,A8_Priv_Escalation,Logic,D2_Tool_Attestation,Adaptive,Medium,0.696,0.152,0.014,0.43,0.0,1.11
P1,A8_Priv_Escalation,Logic,D2_Tool_Attestation,Adaptive,High,0.764,0.152,0.014,0.464,0.0,1.17
P1,A8_Priv_Escalation,Logic,D3_Response_Verification,Static,Low,0.552,0.212,0.026,0.324,0.0,1.1
P1,A8_Priv_Escalation,Logic,D3_Response_Verification,Static,Medium,0.582,0.212,0.026,0.36,0.0,1.15
P1,A8_Priv_Escalation,Logic,D3_Response_Verification,Static,High,0.626,0.212,0.03,0.384,0.0,1.21
P1,A8_Priv_Escalation,Logic,D3_Response_Verification,Defense_Aware,Low,0.616,0.184,0.026,0.374,0.0,1.1
P1,A8_Priv_Escalation,Logic,D3_Response_Verification,Defense_Aware,Medium,0.646,0.184,0.026,0.396,0.0,1.15
P1,A8_Priv_Escalation,Logic,D3_Response_Verification,Defense_Aware,High,0.694,0.184,0.03,0.432,0.0,1.21
P1,A8_Priv_Escalation,Logic,D3_Response_Verification,Adaptive,Low,0.676,0.138,0.026,0.416,0.0,1.1
P1,A8_Priv_Escalation,Logic,D3_Response_Verification,Adaptive,Medium,0.728,0.138,0.026,0.452,0.0,1.15
P1,A8_Priv_Escalation,Logic,D3_Response_Verification,Adaptive,High,0.804,0.138,0.03,0.478,0.0,1.21
P1,A8_Priv_Escalation,Logic,D4_Agent_Isolation,Static,Low,0.564,0.196,0.016,0.34,0.0,1.07
P1,A8_Priv_Escalation,Logic,D4_Agent_Isolation,Static,Medium,0.596,0.196,0.016,0.366,0.0,1.12
P1,A8_Priv_Escalation,Logic,D4_Agent_Isolation,Static,High,0.646,0.196,0.018,0.396,0.0,1.18
P1,A8_Priv_Escalation,Logic,D4_Agent_Isolation,Defense_Aware,Low,0.634,0.152,0.016,0.39,0.0,1.07
P1,A8_Priv_Escalation,Logic,D4_Agent_Isolation,Defense_Aware,Medium,0.664,0.152,0.016,0.412,0.0,1.12
P1,A8_Priv_Escalation,Logic,D4_Agent_Isolation,Defense_Aware,High,0.718,0.152,0.018,0.446,0.0,1.18
P1,A8_Priv_Escalation,Logic,D4_Agent_Isolation,Adaptive,Low,0.702,0.102,0.016,0.426,0.0,1.07
P1,A8_Priv_Escalation,Logic,D4_Agent_Isolation,Adaptive,Medium,0.758,0.102,0.016,0.46,0.0,1.12
P1,A8_Priv_Escalation,Logic,D4_Agent_Isolation,Adaptive,High,0.828,0.102,0.018,0.496,0.0,1.18
P1,A8_Priv_Escalation,Logic,D5_Consensus_Protocol,Static,Low,0.534,0.242,0.058,0.308,0.0,1.16
P1,A8_Priv_Escalation,Logic,D5_Consensus_Protocol,Static,Medium,0.562,0.242,0.06,0.348,0.0,1.21
P1,A8_Priv_Escalation,Logic,D5_Consensus_Protocol,Static,High,0.606,0.242,0.068,0.376,0.0,1.27
P1,A8_Priv_Escalation,Logic,D5_Consensus_Protocol,Defense_Aware,Low,0.598,0.204,0.058,0.366,0.0,1.16
P1,A8_Priv_Escalation,Logic,D5_Consensus_Protocol,Defense_Aware,Medium,0.632,0.204,0.06,0.386,0.0,1.21
P1,A8_Priv_Escalation,Logic,D5_Consensus_Protocol,Defense_Aware,High,0.676,0.204,0.068,0.416,0.0,1.27
P1,A8_Priv_Escalation,Logic,D5_Consensus_Protocol,Adaptive,Low,0.664,0.168,0.058,0.402,0.0,1.16
P1,A8_Priv_Escalation,Logic,D5_Consensus_Protocol,Adaptive,Medium,0.708,0.168,0.06,0.436,0.0,1.21
P1,A8_Priv_Escalation,Logic,D5_Consensus_Protocol,Adaptive,High,0.778,0.168,0.068,0.464,0.0,1.27
P1,A8_Priv_Escalation,Logic,D6_Behavioral_Monitor,Static,Low,0.566,0.282,0.04,0.352,0.0,1.05
P1,A8_Priv_Escalation,Logic,D6_Behavioral_Monitor,Static,Medium,0.618,0.282,0.042,0.374,0.0,1.1
P1,A8_Priv_Escalation,Logic,D6_Behavioral_Monitor,Static,High,0.656,0.282,0.044,0.404,0.0,1.16
P1,A8_Priv_Escalation,Logic,D6_Behavioral_Monitor,Defense_Aware,Low,0.642,0.232,0.04,0.396,0.0,1.05
P1,A8_Priv_Escalation,Logic,D6_Behavioral_Monitor,Defense_Aware,Medium,0.666,0.232,0.042,0.422,0.0,1.1
P1,A8_Priv_Escalation,Logic,D6_Behavioral_Monitor,Defense_Aware,High,0.736,0.232,0.044,0.448,0.0,1.16
P1,A8_Priv_Escalation,Logic,D6_Behavioral_Monitor,Adaptive,Low,0.708,0.198,0.04,0.442,0.0,1.05
P1,A8_Priv_Escalation,Logic,D6_Behavioral_Monitor,Adaptive,Medium,0.774,0.198,0.042,0.464,0.0,1.1
P1,A8_Priv_Escalation,Logic,D6_Behavioral_Monitor,Adaptive,High,0.838,0.198,0.044,0.49,0.0,1.16
P1,A8_Priv_Escalation,Logic,Bundle_D1_D3_D4_D6,Static,Low,0.354,0.31,0.084,0.212,0.0,1.26
P1,A8_Priv_Escalation,Logic,Bundle_D1_D3_D4_D6,Static,Medium,0.408,0.31,0.084,0.238,0.0,1.31
P1,A8_Priv_Escalation,Logic,Bundle_D1_D3_D4_D6,Static,High,0.468,0.31,0.09,0.26,0.0,1.37
P1,A8_Priv_Escalation,Logic,Bundle_D1_D3_D4_D6,Defense_Aware,Low,0.45,0.282,0.084,0.258,0.0,1.26
P1,A8_Priv_Escalation,Logic,Bundle_D1_D3_D4_D6,Defense_Aware,Medium,0.486,0.282,0.084,0.272,0.0,1.31
P1,A8_Priv_Escalation,Logic,Bundle_D1_D3_D4_D6,Defense_Aware,High,0.528,0.282,0.09,0.314,0.0,1.37
P1,A8_Priv_Escalation,Logic,Bundle_D1_D3_D4_D6,Adaptive,Low,0.516,0.238,0.084,0.304,0.0,1.26
P1,A8_Priv_Escalation,Logic,Bundle_D1_D3_D4_D6,Adaptive,Medium,0.562,0.238,0.084,0.336,0.0,1.31
P1,A8_Priv_Escalation,Logic,Bundle_D1_D3_D4_D6,Adaptive,High,0.608,0.238,0.09,0.366,0.0,1.37
P1,A8_Priv_Escalation,Logic,Bundle_All,Static,Low,0.28,0.346,0.118,0.168,0.0,1.43
P1,A8_Priv_Escalation,Logic,Bundle_All,Static,Medium,0.324,0.346,0.124,0.192,0.0,1.48
P1,A8_Priv_Escalation,Logic,Bundle_All,Static,High,0.384,0.346,0.134,0.226,0.0,1.54
P1,A8_Priv_Escalation,Logic,Bundle_All,Defense_Aware,Low,0.362,0.31,0.118,0.224,0.0,1.43
P1,A8_Priv_Escalation,Logic,Bundle_All,Defense_Aware,Medium,0.414,0.31,0.124,0.242,0.0,1.48
P1,A8_Priv_Escalation,Logic,Bundle_All,Defense_Aware,High,0.46,0.31,0.134,0.262,0.0,1.54
P1,A8_Priv_Escalation,Logic,Bundle_All,Adaptive,Low,0.46,0.282,0.118,0.26,0.0,1.43
P1,A8_Priv_Escalation,Logic,Bundle_All,Adaptive,Medium,0.486,0.282,0.124,0.278,0.0,1.48
P1,A8_Priv_Escalation,Logic,Bundle_All,Adaptive,High,0.542,0.282,0.134,0.316,0.0,1.54
P1,A9_Goal_Hijacking,Logic,No Defense,Static,Low,0.69,0.0,0.0,0.424,0.0,1.0
P1,A9_Goal_Hijacking,Logic,No Defense,Static,Medium,0.75,0.0,0.0,0.452,0.0,1.05
P1,A9_Goal_Hijacking,Logic,No Defense,Static,High,0.82,0.0,0.0,0.488,0.0,1.11
P1,A9_Goal_Hijacking,Logic,No Defense,Defense_Aware,Low,0.778,0.0,0.0,0.474,0.0,1.0
P1,A9_Goal_Hijacking,Logic,No Defense,Defense_Aware,Medium,0.844,0.0,0.0,0.5,0.0,1.05
P1,A9_Goal_Hijacking,Logic,No Defense,Defense_Aware,High,0.904,0.0,0.0,0.518,0.0,1.11
P1,A9_Goal_Hijacking,Logic,No Defense,Adaptive,Low,0.872,0.0,0.0,0.514,0.0,1.0
P1,A9_Goal_Hijacking,Logic,No Defense,Adaptive,Medium,0.926,0.0,0.0,0.528,0.0,1.05
P1,A9_Goal_Hijacking,Logic,No Defense,Adaptive,High,0.982,0.0,0.0,0.552,0.0,1.11
P1,A9_Goal_Hijacking,Logic,D1_Input_Sanitization,Static,Low,0.562,0.176,0.05,0.336,0.0,1.08
P1,A9_Goal_Hijacking,Logic,D1_Input_Sanitization,Static,Medium,0.596,0.176,0.05,0.362,0.0,1.13
P1,A9_Goal_Hijacking,Logic,D1_Input_Sanitization,Static,High,0.65,0.176,0.052,0.398,0.0,1.19
P1,A9_Goal_Hijacking,Logic,D1_Input_Sanitization,Defense_Aware,Low,0.63,0.136,0.05,0.39,0.0,1.08
P1,A9_Goal_Hijacking,Logic,D1_Input_Sanitization,Defense_Aware,Medium,0.666,0.136,0.05,0.412,0.0,1.13
P1,A9_Goal_Hijacking,Logic,D1_Input_Sanitization,Defense_Aware,High,0.72,0.136,0.052,0.446,0.0,1.19
P1,A9_Goal_Hijacking,Logic,D1_Input_Sanitization,Adaptive,Low,0.696,0.088,0.05,0.428,0.0,1.08
P1,A9_Goal_Hijacking,Logic,D1_Input_Sanitization,Adaptive,Medium,0.754,0.088,0.05,0.46,0.0,1.13
P1,A9_Goal_Hijacking,Logic,D1_Input_Sanitization,Adaptive,High,0.828,0.088,0.052,0.496,0.0,1.19
P1,A9_Goal_Hijacking,Logic,D2_Tool_Attestation,Static,Low,0.53,0.198,0.014,0.296,0.0,1.06
P1,A9_Goal_Hijacking,Logic,D2_Tool_Attestation,Static,Medium,0.552,0.198,0.014,0.322,0.0,1.11
P1,A9_Goal_Hijacking,Logic,D2_Tool_Attestation,Static,High,0.594,0.198,0.014,0.366,0.0,1.17
P1,A9_Goal_Hijacking,Logic,D2_Tool_Attestation,Defense_Aware,Low,0.582,0.154,0.014,0.354,0.0,1.06
P1,A9_Goal_Hijacking,Logic,D2_Tool_Attestation,Defense_Aware,Medium,0.62,0.154,0.014,0.384,0.0,1.11
P1,A9_Goal_Hijacking,Logic,D2_Tool_Attestation,Defense_Aware,High,0.66,0.154,0.014,0.406,0.0,1.17
P1,A9_Goal_Hijacking,Logic,D2_Tool_Attestation,Adaptive,Low,0.654,0.104,0.014,0.396,0.0,1.06
P1,A9_Goal_Hijacking,Logic,D2_Tool_Attestation,Adaptive,Medium,0.692,0.104,0.014,0.42,0.0,1.11
P1,A9_Goal_Hijacking,Logic,D2_Tool_Attestation,Adaptive,High,0.756,0.104,0.014,0.452,0.0,1.17
P1,A9_Goal_Hijacking,Logic,D3_Response_Verification,Static,Low,0.554,0.188,0.026,0.316,0.0,1.1
P1,A9_Goal_Hijacking,Logic,D3_Response_Verification,Static,Medium,0.58,0.188,0.026,0.352,0.0,1.15
P1,A9_Goal_Hijacking,Logic,D3_Response_Verification,Static,High,0.622,0.188,0.03,0.374,0.0,1.21
P1,A9_Goal_Hijacking,Logic,D3_Response_Verification,Defense_Aware,Low,0.602,0.144,0.026,0.372,0.0,1.1
P1,A9_Goal_Hijacking,Logic,D3_Response_Verification,Defense_Aware,Medium,0.642,0.144,0.026,0.396,0.0,1.15
P1,A9_Goal_Hijacking,Logic,D3_Response_Verification,Defense_Aware,High,0.682,0.144,0.03,0.426,0.0,1.21
P1,A9_Goal_Hijacking,Logic,D3_Response_Verification,Adaptive,Low,0.676,0.096,0.026,0.414,0.0,1.1
P1,A9_Goal_Hijacking,Logic,D3_Response_Verification,Adaptive,Medium,0.722,0.096,0.026,0.44,0.0,1.15
P1,A9_Goal_Hijacking,Logic,D3_Response_Verification,Adaptive,High,0.792,0.096,0.03,0.476,0.0,1.21
P1,A9_Goal_Hijacking,Logic,D4_Agent_Isolation,Static,Low,0.558,0.16,0.016,0.334,0.0,1.07
P1,A9_Goal_Hijacking,Logic,D4_Agent_Isolation,Static,Medium,0.592,0.16,0.016,0.368,0.0,1.12
P1,A9_Goal_Hijacking,Logic,D4_Agent_Isolation,Static,High,0.634,0.16,0.018,0.396,0.0,1.18
P1,A9_Goal_Hijacking,Logic,D4_Agent_Isolation,Defense_Aware,Low,0.622,0.118,0.016,0.382,0.0,1.07
P1,A9_Goal_Hijacking,Logic,D4_Agent_Isolation,Defense_Aware,Medium,0.664,0.118,0.016,0.408,0.0,1.12
P1,A9_Goal_Hijacking,Logic,D4_Agent_Isolation,Defense_Aware,High,0.712,0.118,0.018,0.432,0.0,1.18
P1,A9_Goal_Hijacking,Logic,D4_Agent_Isolation,Adaptive,Low,0.686,0.072,0.016,0.418,0.0,1.07
P1,A9_Goal_Hijacking,Logic,D4_Agent_Isolation,Adaptive,Medium,0.738,0.072,0.016,0.456,0.0,1.12
P1,A9_Goal_Hijacking,Logic,D4_Agent_Isolation,Adaptive,High,0.816,0.072,0.018,0.486,0.0,1.18
P1,A9_Goal_Hijacking,Logic,D5_Consensus_Protocol,Static,Low,0.534,0.204,0.058,0.302,0.0,1.16
P1,A9_Goal_Hijacking,Logic,D5_Consensus_Protocol,Static,Medium,0.562,0.204,0.06,0.332,0.0,1.21
P1,A9_Goal_Hijacking,Logic,D5_Consensus_Protocol,Static,High,0.608,0.204,0.068,0.37,0.0,1.27
P1,A9_Goal_Hijacking,Logic,D5_Consensus_Protocol,Defense_Aware,Low,0.594,0.166,0.058,0.366,0.0,1.16
P1,A9_Goal_Hijacking,Logic,D5_Consensus_Protocol,Defense_Aware,Medium,0.626,0.166,0.06,0.382,0.0,1.21
P1,A9_Goal_Hijacking,Logic,D5_Consensus_Protocol,Defense_Aware,High,0.672,0.166,0.068,0.408,0.0,1.27
P1,A9_Goal_Hijacking,Logic,D5_Consensus_Protocol,Adaptive,Low,0.662,0.12,0.058,0.406,0.0,1.16
P1,A9_Goal_Hijacking,Logic,D5_Consensus_Protocol,Adaptive,Medium,0.7,0.12,0.06,0.426,0.0,1.21
P1,A9_Goal_Hijacking,Logic,D5_Consensus_Protocol,Adaptive,High,0.766,0.12,0.068,0.462,0.0,1.27
P1,A9_Goal_Hijacking,Logic,D6_Behavioral_Monitor,Static,Low,0.554,0.244,0.04,0.34,0.0,1.05
P1,A9_Goal_Hijacking,Logic,D6_Behavioral_Monitor,Static,Medium,0.598,0.244,0.042,0.37,0.0,1.1
P1,A9_Goal_Hijacking,Logic,D6_Behavioral_Monitor,Static,High,0.646,0.244,0.044,0.4,0.0,1.16
P1,A9_Goal_Hijacking,Logic,D6_Behavioral_Monitor,Defense_Aware,Low,0.63,0.206,0.04,0.384,0.0,1.05
P1,A9_Goal_Hijacking,Logic,D6_Behavioral_Monitor,Defense_Aware,Medium,0.662,0.206,0.042,0.408,0.0,1.1
P1,A9_Goal_Hijacking,Logic,D6_Behavioral_Monitor,Defense_Aware,High,0.72,0.206,0.044,0.444,0.0,1.16
P1,A9_Goal_Hijacking,Logic,D6_Behavioral_Monitor,Adaptive,Low,0.688,0.172,0.04,0.428,0.0,1.05
P1,A9_Goal_Hijacking,Logic,D6_Behavioral_Monitor,Adaptive,Medium,0.748,0.172,0.042,0.454,0.0,1.1
P1,A9_Goal_Hijacking,Logic,D6_Behavioral_Monitor,Adaptive,High,0.824,0.172,0.044,0.482,0.0,1.16
P1,A9_Goal_Hijacking,Logic,Bundle_D1_D3_D4_D6,Static,Low,0.358,0.262,0.084,0.204,0.0,1.26
P1,A9_Goal_Hijacking,Logic,Bundle_D1_D3_D4_D6,Static,Medium,0.408,0.262,0.084,0.24,0.0,1.31
P1,A9_Goal_Hijacking,Logic,Bundle_D1_D3_D4_D6,Static,High,0.472,0.262,0.09,0.262,0.0,1.37
P1,A9_Goal_Hijacking,Logic,Bundle_D1_D3_D4_D6,Defense_Aware,Low,0.45,0.222,0.084,0.266,0.0,1.26
P1,A9_Goal_Hijacking,Logic,Bundle_D1_D3_D4_D6,Defense_Aware,Medium,0.5,0.222,0.084,0.284,0.0,1.31
P1,A9_Goal_Hijacking,Logic,Bundle_D1_D3_D4_D6,Defense_Aware,High,0.532,0.222,0.09,0.318,0.0,1.37
P1,A9_Goal_Hijacking,Logic,Bundle_D1_D3_D4_D6,Adaptive,Low,0.528,0.19,0.084,0.306,0.0,1.26
P1,A9_Goal_Hijacking,Logic,Bundle_D1_D3_D4_D6,Adaptive,Medium,0.56,0.19,0.084,0.34,0.0,1.31
P1,A9_Goal_Hijacking,Logic,Bundle_D1_D3_D4_D6,Adaptive,High,0.612,0.19,0.09,0.364,0.0,1.37
P1,A9_Goal_Hijacking,Logic,Bundle_All,Static,Low,0.278,0.29,0.118,0.168,0.0,1.43
P1,A9_Goal_Hijacking,Logic,Bundle_All,Static,Medium,0.322,0.29,0.124,0.194,0.0,1.48
P1,A9_Goal_Hijacking,Logic,Bundle_All,Static,High,0.376,0.29,0.134,0.234,0.0,1.54
P1,A9_Goal_Hijacking,Logic,Bundle_All,Defense_Aware,Low,0.366,0.252,0.118,0.216,0.0,1.43
P1,A9_Goal_Hijacking,Logic,Bundle_All,Defense_Aware,Medium,0.42,0.252,0.124,0.248,0.0,1.48
P1,A9_Goal_Hijacking,Logic,Bundle_All,Defense_Aware,High,0.476,0.252,0.134,0.272,0.0,1.54
P1,A9_Goal_Hijacking,Logic,Bundle_All,Adaptive,Low,0.474,0.214,0.118,0.27,0.0,1.43
P1,A9_Goal_Hijacking,Logic,Bundle_All,Adaptive,Medium,0.494,0.214,0.124,0.292,0.0,1.48
P1,A9_Goal_Hijacking,Logic,Bundle_All,Adaptive,High,0.538,0.214,0.134,0.328,0.0,1.54
P2,A1_SIEM_Injection,Data,No Defense,Static,Low,0.696,0.0,0.0,0.0,0.544,1.0
P2,A1_SIEM_Injection,Data,No Defense,Static,Medium,0.752,0.0,0.0,0.0,0.576,1.05
P2,A1_SIEM_Injection,Data,No Defense,Static,High,0.824,0.0,0.0,0.0,0.622,1.11
P2,A1_SIEM_Injection,Data,No Defense,Defense_Aware,Low,0.796,0.0,0.0,0.0,0.598,1.0
P2,A1_SIEM_Injection,Data,No Defense,Defense_Aware,Medium,0.846,0.0,0.0,0.0,0.65,1.05
P2,A1_SIEM_Injection,Data,No Defense,Defense_Aware,High,0.91,0.0,0.0,0.0,0.676,1.11
P2,A1_SIEM_Injection,Data,No Defense,Adaptive,Low,0.878,0.0,0.0,0.0,0.656,1.0
P2,A1_SIEM_Injection,Data,No Defense,Adaptive,Medium,0.93,0.0,0.0,0.0,0.7,1.05
P2,A1_SIEM_Injection,Data,No Defense,Adaptive,High,0.986,0.0,0.0,0.0,0.726,1.11
P2,A1_SIEM_Injection,Data,D1_Input_Sanitization,Static,Low,0.562,0.206,0.05,0.0,0.436,1.08
P2,A1_SIEM_Injection,Data,D1_Input_Sanitization,Static,Medium,0.594,0.206,0.05,0.0,0.462,1.13
